created_at,id,text,province
Thu Nov 01 08:25:37 +0800 2018,4301462068715341,"""悲伤的十月已过去，望以后不在悲伤。""",34
Thu Nov 01 08:25:37 +0800 2018,4301462068222937,"""感谢你写的江湖。""",23
Thu Nov 01 08:25:32 +0800 2018,4301462048138124,"""发过火""",36
Thu Nov 01 08:25:33 +0800 2018,4301462047245530,"""一路走好""",12
Thu Nov 01 08:25:32 +0800 2018,4301462043049225,"""大侠""",100
Thu Nov 01 08:25:32 +0800 2018,4301462043049145,"""侠之大者""",32
Thu Nov 01 08:25:27 +0800 2018,4301462026728945,"""[微笑]""",100
Thu Nov 01 08:25:24 +0800 2018,4301462014551898,"""[good][good]""",13
Thu Nov 01 08:25:22 +0800 2018,4301462006157250,"""@广播达人宋晓华: 泰斗已去，侠义永存！[蜡烛]🙏""",100
Thu Nov 01 08:25:23 +0800 2018,4301462005288571,"""厉害""",14
Thu Nov 01 08:25:19 +0800 2018,4301461992772808,"""可能因为""",32
Thu Nov 01 08:25:17 +0800 2018,4301461984978785,"""。。""",100
Thu Nov 01 08:25:11 +0800 2018,4301461959447181,"""穿多大""",21
Thu Nov 01 08:25:10 +0800 2018,4301461955247518,"""。。。。。""",43
Thu Nov 01 08:25:09 +0800 2018,4301461951392312,"""[蜡烛][蜡烛]""",44
Thu Nov 01 08:25:06 +0800 2018,4301461938556110,"""[蜡烛][蜡烛][蜡烛]""",33
Thu Nov 01 08:25:06 +0800 2018,4301461938453232,"""肥嘟嘟的""",21
Thu Nov 01 08:25:05 +0800 2018,4301461938450306,"""一路走好""",37
Thu Nov 01 08:25:06 +0800 2018,4301461933961945,"""兔兔""",100
Thu Nov 01 08:25:06 +0800 2018,4301461933961522,"""！""",100
Thu Nov 01 08:25:03 +0800 2018,4301461926652113,"""心情好""",100
Thu Nov 01 08:25:03 +0800 2018,4301461925962778,"""👍""",44
Thu Nov 01 08:25:03 +0800 2018,4301461925960646,"""啊""",13
Thu Nov 01 08:25:01 +0800 2018,4301461921760343,"""走好""",45
Thu Nov 01 08:25:00 +0800 2018,4301461913365666,"""[微笑]""",100
Thu Nov 01 08:25:00 +0800 2018,4301461913260761,"""1""",11
Thu Nov 01 08:25:01 +0800 2018,4301461912982841,"""怀念""",100
Thu Nov 01 08:24:59 +0800 2018,4301461909858313,"""走好""",100
Thu Nov 01 08:24:54 +0800 2018,4301461892265540,"""呵呵""",100
Thu Nov 01 08:24:52 +0800 2018,4301461880039595,"""666""",100
Thu Nov 01 08:24:46 +0800 2018,4301461859293913,"""[失望][失望][失望]""",13
Thu Nov 01 08:24:44 +0800 2018,4301461846700188,"""[微笑]""",100
Thu Nov 01 08:24:44 +0800 2018,4301461846081885,"""哎""",44
Thu Nov 01 08:24:43 +0800 2018,4301461841884721,"""在""",33
Thu Nov 01 08:24:41 +0800 2018,4301461833853680,"""d没错""",100
Thu Nov 01 08:24:39 +0800 2018,4301461825710098,"""天空""",50
Thu Nov 01 08:24:38 +0800 2018,4301461821259933,"""[可怜]""",51
Thu Nov 01 08:24:37 +0800 2018,4301461817496027,"""来了""",50
Thu Nov 01 08:24:34 +0800 2018,4301461804719899,"""😁""",41
Thu Nov 01 08:24:34 +0800 2018,4301461799700163,"""退了""",50
Thu Nov 01 08:24:29 +0800 2018,4301461783472482,"""侠义永存！先生好走！！！""",32
Thu Nov 01 08:24:26 +0800 2018,4301461770508107,"""！！！""",44
Thu Nov 01 08:24:23 +0800 2018,4301461758539336,"""[委屈]""",37
Thu Nov 01 08:24:22 +0800 2018,4301461758277000,"""。。""",41
Thu Nov 01 08:24:21 +0800 2018,4301461749516814,"""路过""",12
Thu Nov 01 08:24:19 +0800 2018,4301461740959553,"""大师远走""",100
Thu Nov 01 08:24:17 +0800 2018,4301461733087756,"""永垂不朽""",52
Thu Nov 01 08:24:15 +0800 2018,4301461725137498,"""可惜""",100
Thu Nov 01 08:24:13 +0800 2018,4301461716555949,"""哈哈""",42
Thu Nov 01 08:24:11 +0800 2018,4301461707790947,"""走好""",13
Thu Nov 01 08:24:10 +0800 2018,4301461703697345,"""好""",100
Thu Nov 01 08:24:09 +0800 2018,4301461703695356,"""走好""",100
Thu Nov 01 08:24:09 +0800 2018,4301461699498499,"""一路走好""",13
Thu Nov 01 08:24:09 +0800 2018,4301461699393687,"""走好""",14
Thu Nov 01 08:24:02 +0800 2018,4301461675018592,"""。""",13
Thu Nov 01 08:24:01 +0800 2018,4301461666177190,"""。。。。""",36
Thu Nov 01 08:24:00 +0800 2018,4301461665907762,"""浙江大学人文学院教授，金庸""",14
Thu Nov 01 08:24:00 +0800 2018,4301461661608986,"""走好""",100
Thu Nov 01 08:23:54 +0800 2018,4301461636519765,"""一万多""",41
Thu Nov 01 08:23:54 +0800 2018,4301461636519225,"""kkk""",32
Thu Nov 01 08:23:49 +0800 2018,4301461615425704,"""唉😔""",37
Thu Nov 01 08:23:41 +0800 2018,4301461582478638,"""niu""",100
Thu Nov 01 08:23:41 +0800 2018,4301461581837495,"""可惜了""",100
Thu Nov 01 08:23:39 +0800 2018,4301461574080718,"""。""",100
Thu Nov 01 08:23:39 +0800 2018,4301461573437967,"""难受""",100
Thu Nov 01 08:23:38 +0800 2018,4301461570068399,"""[蜡烛]""",52
Thu Nov 01 08:23:36 +0800 2018,4301461561672216,"""@王王乐杨: 杏子林， 华山颠，碧海潮生独孤剑。 汉水旁，风陵渡，晓寒深处情花毒。 无涯秋水鹤笔翁，霜华星竹向问天。 虽千万人吾往矣。悄立雁门，绝壁无余字，莫声谷，风清扬……""",51
Thu Nov 01 08:23:36 +0800 2018,4301461561208633,"""hjd""",35
Thu Nov 01 08:23:34 +0800 2018,4301461552445819,"""🙏""",23
Thu Nov 01 08:23:33 +0800 2018,4301461548248268,"""大侠，一路走好""",100
Thu Nov 01 08:23:32 +0800 2018,4301461544413501,"""。""",100
Thu Nov 01 08:23:29 +0800 2018,4301461532284737,"""怀念看书的日子""",100
Thu Nov 01 08:23:28 +0800 2018,4301461531452313,"""😀""",52
Thu Nov 01 08:23:27 +0800 2018,4301461527617506,"""无敌脸谱""",44
Thu Nov 01 08:23:26 +0800 2018,4301461518857551,"""赞""",14
Thu Nov 01 08:23:27 +0800 2018,4301461518588995,"""[鲜花]""",34
Thu Nov 01 08:23:26 +0800 2018,4301461514393699,"""嗯""",100
Thu Nov 01 08:23:24 +0800 2018,4301461511107785,"""一路走好""",41
Thu Nov 01 08:23:24 +0800 2018,4301461510461634,"""侠义永存""",21
Thu Nov 01 08:23:23 +0800 2018,4301461506263868,"""一堆官博和明星在蹭熱度 人在生的時候也不關心""",100
Thu Nov 01 08:23:22 +0800 2018,4301461502428092,"""走好[蜡烛][蜡烛][蜡烛]""",45
Thu Nov 01 08:23:20 +0800 2018,4301461493667918,"""经典已去""",100
Thu Nov 01 08:23:18 +0800 2018,4301461485919453,"""😊""",22
Thu Nov 01 08:23:15 +0800 2018,4301461473039903,"""[蜡烛]""",33
Thu Nov 01 08:23:11 +0800 2018,4301461460440299,"""[微笑]""",51
Thu Nov 01 08:23:09 +0800 2018,4301461448138492,"""唉""",35
Thu Nov 01 08:23:09 +0800 2018,4301461447744193,"""哈哈哈哈""",43
Thu Nov 01 08:23:09 +0800 2018,4301461443067086,"""唉""",36
Thu Nov 01 08:23:07 +0800 2018,4301461439924303,"""愿一切安好， 心里的那个情结也因为金老的离开或许就慢慢淡化了""",33
Thu Nov 01 08:23:07 +0800 2018,4301461439740502,"""。。。""",100
Thu Nov 01 08:23:06 +0800 2018,4301461439738742,"""大师一路走好@新浪娱乐""",100
Thu Nov 01 08:23:07 +0800 2018,4301461434675585,"""。""",100
Thu Nov 01 08:23:05 +0800 2018,4301461431527988,"""，，""",37
Thu Nov 01 08:23:04 +0800 2018,4301461427327800,"""人间再无俏黄蓉""",100
Thu Nov 01 08:23:04 +0800 2018,4301461427145998,""".""",100
Thu Nov 01 08:23:01 +0800 2018,4301461414159359,"""阿""",100
Thu Nov 01 08:23:01 +0800 2018,4301461409502350,"""[心]""",13
Thu Nov 01 08:22:53 +0800 2018,4301461384866673,"""dd""",43
Thu Nov 01 08:22:52 +0800 2018,4301461376769707,"""？。""",100
Thu Nov 01 08:22:49 +0800 2018,4301461363776693,"""逝者安息""",100
Thu Nov 01 08:22:48 +0800 2018,4301461355220500,"""打你""",44
